,importance
match_event_id,6.68176208100459
location_x,5.076441128985555
location_y,5.2576984179694755
power_of_shot,4.149276844630322
knockout_match,1.0596030179670517
distance_of_shot,4.707879074966679
match_id,5.174088818665985
remaining_seconds,6.851563907697064
area_of_shot_Left Side Center(LC),0.6843817125671778
area_of_shot_Left Side(L),0.5642280465150208
area_of_shot_Mid Ground(MG),0.057692530098054466
area_of_shot_Right Side Center(RC),0.6799988871747069
area_of_shot_Right Side(R),0.6639297632617641
shot_basics_Goal Line,0.6360971530413009
shot_basics_Left Corner,0.06898578553914371
shot_basics_Mid Ground Line,0.03806692107171812
shot_basics_Mid Range,0.7926983884939544
shot_basics_Penalty Spot,0.5324534309585552
shot_basics_Right Corner,0.07523855430494353
range_of_shot_24+ ft.,0.5382927172160551
range_of_shot_8-16 ft.,0.6682781928694839
range_of_shot_Back Court Shot,0.055428061609247334
range_of_shot_Less Than 8 ft.,1.2704603204223237
home/away_MANU vs. BKN,0.053885725835715326
home/away_MANU vs. BOS,0.5309465294652667
home/away_MANU vs. CHA,0.312591619163032
home/away_MANU vs. CHH,0.14499818189253733
home/away_MANU vs. CHI,0.38340442042093276
home/away_MANU vs. CLE,0.41006886498559214
home/away_MANU vs. DAL,0.6174488069202888
home/away_MANU vs. DEN,0.6581271029513918
home/away_MANU vs. DET,0.4328496094893784
home/away_MANU vs. GSW,0.6381513909738602
home/away_MANU vs. HOU,0.7349420628479882
home/away_MANU vs. IND,0.4709117815206938
home/away_MANU vs. LAC,0.6266466969997773
home/away_MANU vs. MEM,0.537680738559392
home/away_MANU vs. MIA,0.48761925638465886
home/away_MANU vs. MIL,0.3702511915666795
home/away_MANU vs. MIN,0.689831793792203
home/away_MANU vs. NJN,0.33095429041894575
home/away_MANU vs. NOH,0.38113317544901537
home/away_MANU vs. NOK,0.1770468791109553
home/away_MANU vs. NOP,0.07795017511763544
home/away_MANU vs. NYK,0.46882203069312467
home/away_MANU vs. OKC,0.3968179214182891
